IHR,date,equip,cat1,cat2,hazard,location,risk,event,desc,invest
2874,14-12-16 20:10,RJ-100,Third Party Actions ,Safe Movement of Passengers,Occurrence,Apron 5 Ramp,Medium Risk,"Canadian North B737-300 (Tail 596) had just arrived in the eastern most boeing parking spot, engines shut down and awaiting to deplane. Our RJ100, FSUA had pulled up right next to the boeing, 3 minutes after Canadian North's arrival. Deplaning was held off on Canadian North as the RJ was pulling into the ramp. As they came to a stop, OCC informed us they required a ground power unit. We had engines 3 and 4 shut down to hook up the cart. At this point we noticed that passengers had begun to deplane the Canadian North boeing, as engine 2 and 1 were still running on the RJ. \r\n\r\nThere was a Canadian North CSA standing by the 737, and one by the terminal doors, who's sight was restricted to each other partially by a dash-8 aircraft parked in front of the doors, however they did have radio communication between each other. \r\n\r\nWhen confronted afterwards, they informed me that they heard the engines shut down, and so assumed the whole aircraft had shut down. Again, this wasn't the case as engines 2/1 were running, and the anti collision beacon still illuminated. ",Lack of situational awareness/communication between Canadian North CSA's,"December 17 2014 819 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk MED 2-3 due process failure\r\nAssigned to manager\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Dec 17, 2014\r\nRedacted report sent to Shelly Sackney (Canadian North, SMS)\r\nRequested 30 day extension while waiting for response from Canadian North.\r\n\r\nJames Wakulchyk QA Flt ops Dec 17 2014 11:45 handling risk med 2-3 assigned to manager.  Equipment changed from BAe-14 to Avro RJ 100\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Dec 17, 2014\r\nCN corresponding SMS report #1574\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Jan 9 2015\r\nChanged primary category to Third Party Actions\r\nChanged secondary to Safe Movement of Passengers\r\nAttached email from Gary Eusebio with information on Canadian Norths investigation\r\nRFC.\r\n\r\nJanuary 15 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety "
2875,14-12-16 17:00,B 1900D,Maintenance (general),In-flight Diversion,Occurrence,approximately one hour into flight over YEA,Low Risk,"In cruise at flight level 25,000 we noticed a loud noise suddenly that sounded like metal grinding metal.\r\nWe could not find any indication for the reason for the noise.\r\nWe pulled the power levers back to reduce power to trouble shoot.\r\nThen we pulled back the props as well.\r\nThe noise was reduced, but did not disappear, and seemed to be coming from the captain's side.\r\nWe believed it was a problem with the left engine.\r\nThe oil pressure and temperature gauges were monitored and showed no change.\r\nOCC was contacted, and maintenance consulted, and it was determined that we needed to return to CYYC.\r\nIn the descent, Clement noticed that the 02 gauge on the left side was showing 800 when the walkaround showed the bottle full.\r\nWe thought that because of the lack of any engine changes, that the noise may have been the oxygen.\r\nWe therefore did not feel the need to request emergency vehicles.\r\nA safe landing was achieved, and taxi back to base was uneventful.\r\n",unknown at time of event.\r\n,"December 17 2014-830 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required\r\nMaintenance will rectify the defect TC 142702-267 and release the work when done\r\nHandling risk LOW 2-2 actual risk 2-2\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt ops Dec 17 2014 - handling risk low 2-2 assigned to manager may be AC'd.\r\n\r\nDec 17 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nReport reviewed. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). RFC. May be AC'd.\r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nAndrew Matson - SMS - March 12, 2015  1530L\r\nOn behalf of QA Maintenance.  Troubleshooting of snag found failure of #1 Engine Accessory Gear Box.  Engine replaced on taskcard 143015-001.  Determination of cause added.\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nMay be AC'd.\r\nSent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Mar 12, 2015\r\nReviewed and closed"
2876,14-12-16 7:00,BE 200,Cockpit Indication - In-flight,,Occurrence,CYYC terminal airspace ,Low Risk,"During climb out, through Calgary terminal. We had a master warning indicating a left bleed air failure.\r\nAfter running appropriate checklists the issue was secured and we obtained clearance back to CYYC with no further issue ",,"December 17 2014 850 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nAircraft registration changed to C-GDFN from C-FCGM to reflect the actual aircraft.\r\nThe defect was entered as required\r\nMaintenance will clear the defect TC 142737-204 and release the work when done\r\nHandling risk LOW 2-2 Actual risk Low 2-2\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt ops Dec 17 2014 - handling risk low 2-2 assigned to manager may be AC'd.\r\n\r\nDec 17 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nReport reviewed. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). RFC. May be AC'd.\r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nAndrew Matson - SMS - march 4, 2015  1645L\r\nOn behalf of QA Maintenance, I have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nMay be AC'd.\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich- AE - Mar 8, 2015\r\nReviewed and closed"
2877,14-12-17 8:00,BE 200,In-flight Diversion,,Occurrence,CYYC Airspace,Low Risk,While on the climb out of CYYC the L BL Fail light illuminated. We followed the QRH and returned to CYYC,Bleed Air line ruptured,"December 17 2014- 902 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required\r\nMaintenance will clear the defect TC 142740-12 and release the work when done\r\nMaintenance is tracking as start of recurring defect\r\nHandling risk LOW 2-2 Actual risk low 2-2\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA flt Ops Dec 17 2014 11:10 handling risk low 2-2 assigned to manager.  May be AC'd.\r\n\r\nDec 17 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704. \r\nReport reviewed. Second time in 2 days this has occurred in this airplane. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). RFC. May be AC'd. \r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nAndrew Matson - SMS - March 4, 2015  1645L\r\nOn behalf of QA Maintenance, I have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nMay be AC'd.\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Mar 8, 2015\r\nReviewed and closed"
2878,14-12-16 16:00,BE 200,Operations procedures,System or Process Failure,Occurrence,During take off roll CYKY,High Risk,"Tim - PF, Mark - PM\r\n\r\nDuring the take off roll at approx 70 kts, Mark began to have airspeed fluctuations. Initially the airspeed appeared to come alive as normal, however around 70kts the indications became erratic. My airspeed indications were normal. Although we were below V1/Vr, I elected to continue the take off. The field in CYKY is only 3500' long and had some ice and snow patches. By the time the problem became apparent, I did not feel that stopping on the remaining runway was a safe option, as the possibility of over-run was very real at that point. As soon as we became airborne and were climbing away safely, we confirmed the pitot heat was on, but there were no other troubleshooting options to solve the problem in flight. We opted to divert back to CYYC for maint instead of continuing to CYQF. The remainder of the flight was completed without incident. Upon landing I discovered the pitot tube cover was still in place over the left hand pitot tube, however the remove before flight tag was not present. \r\n\r\nAs a indication of how difficult it was to see the plug with no tag, we had 3 ground handlers and both myself and Mark walk by the aircraft several times without noticing it. It was only when I went to actively look into the pitot tube to see if there was an obstruction that I noticed the cover.","Since I was acting as f/o, I was the one who removed the plugs in CYKY. I noted that only one pitot cover was present when I removed them. I searched the immediate area but could not find the missing one. I thought it must have blown off, as it was fairly windy on the ground. In reality, the remove before flight tag had blown off but the pitot cover was still on the pitot tube. Since the type of pitot cover used in CGM is black rubber that fits snugly over the pitot tube, it was not easily visible with the remove before flight tag missing. It did not occur to me that the tag would have blown off with the cover still attached, so my efforts at that point were focused on finding the missing cover. I have seen plugs blown off in the past due to wind, but never the tag only. \r\n\r\nThe tag was secured by metal ring on the end of the cover. I would speculate that when removing the cover, people generally pull it off by the remove before flight tag, which would have weakened the metal ring over time.\r\n\r\nRegarding our decision to continue take off with a pitot/static issue, I noticed in CYYC that the plug had some small holes in it, which explains why we got normal airspeed indications initially. If airspeed had been 0 during the roll, the problem would have been obvious with plenty of time to reject.","December 17 2014-957 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nFlight ops Q/A to determine risk\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt ops Dec 17 2014  -10:55 - handling risk high 4-3.  Not following BE200 SOP 2.1.2 and SOP 2.2.2 for ensuring thorough walk-around completed before start.  Occurrence risk high 4-3.  Assigned to manager\r\n\r\nDec 23 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nSpoke with captain. A walk around was done, but the black portion of the pitot cover remained on the pitot tube, and the red tag was removed. See attached picture. Human factors error. Corrective actions under review.\r\n\r\nJanuary 13 2015\r\nConsensus reached with maintenance department. There will be a King Air fleet campaign to change over the black rubber pitot covers to better ones, see attached picture. \r\n\r\nThis is a human factors error, of the type Action Error Lape - Not doing what was meant to be done.\r\n\r\nIn review, the impact to safety management and the likelihood of reoccurrence is determined to be low.  This investigation has been reviewed and determined to be managed to As Low As Reasonably Practical (ALARP), and meets the SMS requirements for a root cause analysis.  The cause has been determined to be a human error and unintentional deviation from a single standard, procedure or process.  The individual was provided all appropriate training on these procedures, but failed to carry out the requirement of this single task.  My investigation has determined this decision was not affected by an external or environmental influence, which could have contributed to the decision made by the individual(s).  This situation as reported has not occurred within the framework of recent guidance and the originator has self-reported this deviation to record the event and to allow the organization to review for any possible improvement(s).   The report has been reviewed with the originator and they have been made aware of the significance or impacts of this event.\r\n\r\nRFC\r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\n\r\nJanuary 21 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nRichelle Singer-SMS-February 23, 2015-1700L\r\nSMS Committee reviewed and closed report on February 20, 2015\r\nPrimary Category changed from Component Failure (or part of) to Operations Procedures \r\n"
2879,14-12-17 10:00,None,Facilities,,Occurrence,hanger 6 yyc,Medium Risk,"The cargo roller door that leads from the check in counters to hanger 6 was found open, as well as the man door to the lobby, and the actual hanger door was open. From the lobby,  there was a clear line of sight to the ramp area. No Cariboo personnel were around monitering these doors to make sure they were secure. ",Personnel not following security procedures.,"December 17 2014 1314 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nChanged to occurrence \r\nHandling risk med 3-2-process failure\r\nActual risk low 2-2\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt Ops Dec 17 2014 13:40 - risk per QA Maint.  Assigned to supervisors of check in and Ramp for review\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Dec 17, 2014\r\nThis has been an on going issue as the electronic door lock for the man door had been malfunctioning and not allowing any staff to gain access to the hangar. The only way that had been identified was to leave the overhead door open. There had been a request to have the electronic lock fixed by Fiona to Andrew M to follow up on who is responsible for this repair. Door is still malfunctioning. Denis Porier had been asked and has looked at the door and it appears to be a hardware problem. Denis is going to contact Karon Baldick to have it looked at.\r\n\r\nAndrew Matson - SMS - January 19, 2015  1230L\r\nStill awaiting response from Northgate Aviation.  Report reassigned to SMS Coordinator.  30 day extension granted on behalf of SMS Director.  New followup date February 15, 2015.\r\n\r\nAndrew Matson - SMS - Feb 9, 2015  1220L\r\nConfirmed that the card reader on the electronic lock has been replaced and is functioning correctly.  No further action required.  Root cause analysis requirement waived.  Cause determined to be component failure of electronic card reader preventing access to hangar through normal means.\r\n\r\n\r\nFeb. 19 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n"
2880,14-12-17 11:00,RJ-100,Aircraft Ground Damage (engines not operating),Ramp/Parking/Maneuvering,Occurrence,Hangar 6,High Risk,While attempting to park AQN on the right side of SUI in hangar 6 Gert informed me that the tail was getting really close to the number 1 engine of SUI and advised me to start going tail right. I asked Hunter to chock the plane and re-hook me so that i could come at AQN from a better angle to push the tail to the right. After we chocked and disconnected Hunter began dragging the tow bar to the other side when the tail of AQN ended up swinging left about half a foot and brushed up against SUI's number 1 engine causing a few scratches but no damage to either aircraft. I take full responsibility for this occurrence as i didn't realize that the tail would swing left this much with the main wheels chocked and moving the tow bar manually.    ,Lack of knowledge & awareness,"December 17 2014-1333 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nHandling risk MED-4-4 process failure\r\nActual risk 4-4\r\nAssigned to manager\r\nThe defect was entered into both aircraft's records\r\nThe defects will be rectified and the work released\r\nC-GAQN- TC 142789-289\r\nC-GSUI- TC 142667451\r\n\r\nJames Wakulchyk QA Flt Ops Dec 17 2014 - handling risk high 3-5 for damage due towing and trend identified see below.  Occurrence risk high 3-5.  Assigned to manager.\r\n\r\na trend of ramp mishaps going on where there has been either damage to equipment or injury due to ramp moving aircraft on the ramp or in hangars.\r\n\r\n1.	SMS 1815 Nov. 12; witness bar bent on King air on CYYC ramp resulting n minor damage\r\n2.	SMS 2839 Nov 27; ramp movement static wick broken off resulting in damage\r\n3.	SMS 2844 Dec 1; back of BE1900 elevator backed into hangar door resulting in damage\r\n4.	SMS 2845 Dec 2; BE200 and Be1900 contacted during hangar movement resulting in minor damage\r\n5.	SMS 2847 Dec 2 ;  loss of control towing RJ on icy ramp resulting in damage to towbar\r\n6.	SMS 1872 Dec 15; towing Dash 8 Q400 resulted in foot injury to ramp staff\r\n7.	SMS 2880 Dec 17; Dash 8 wingtip contacted RJ 100 engine nacelle during hangar movment resulting in minor damage\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Dec 23, 2014\r\nAttached CAP\r\nAttached corrected aircraft towing procedures\r\nSee CAP of investigation notes.\r\nRFC\r\n\r\nJanuary 7 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nKatrin Itten, SMS - Jan 14, 2015\r\nNo damage, verified by Maintenance. \r\nUploaded Ramp Memo 14-21. \r\nFailure to provide training is the determination of cause in regards to this hazard (moving a stationary aircraftâ€™s nose wheel with a tow bar causes the tail to swing up to four feet) .\r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nKatrin Itten, SMS - Jan 20, 2015\r\nAt the recommendation of the SMS Committee on Jan 16th a revised RCA 2880 was uploaded to indicate the root cause as Lack of training.\r\n\r\n\r\nKatrin Itten, SMS - Jan 22, 2015\r\nAs per email from Senior Supervisor of Airports: The talk movement video has been added to the annual ramp procedures review LMS course.\r\n\r\nJanuary 26, 2015- Richelle Singer-SMS-1000L\r\nReport placed in Closed\r\nSMS Committee closed report on January 16, 2015.\r\nThe primary category has been changed from Ramp/Parking/Maneuvering to Aircraft Ground Damage (Engines not operating). The secondary category has been changed from Aircraft Ground Damage (Engines not operating) to Ramp/Parking/Maneuvering as requested by the SMS Committee."
2881,14-12-16 15:55,B 1900D,Avionics,,Occurrence,CYLL,Low Risk,"At the FAF on the RNAV08 approach into CYLL, the GPS failed.  We executed a missed approach, and recycled the GPS.  We tried a second approach, and the GPS failed again at the same position.  We executed another missed approach, and got clearance to our alternate of CYEG.  While enroute to CYEG, the GPS failed a third time and we got vectors onto the ILS 12 into CYEG.  RAIM was available enroute to CYLL and during both approaches.",,"December 17 2014-1353 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nThe crew entered the defect as required\r\nMaintenance cleared the defect TC142672-201 and released the work\r\nHandling risk LOW2-2\r\nActual risk low1-1\r\nAssigned to manager\r\nMay be AC,d\r\n\r\nDec 17 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nSpoke with captain. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). RFC. May be AC'd.\r\n\r\nJames Wakulchyk QA Flt Ops Dec 17 2014 14:49 handling risk low 2-2 assigned to manager may be RFC'd on behalf of investigator as discussed with her.\r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nAndrew Matson - SMS - March 4, 2015  1650L\r\nOn behalf of QA Maintenance, I have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich -AE- Mar 8, 2015\r\nReviewed and closed"
2882,14-12-17 13:40,DHC-8,Cockpit Indication - In-flight,,Occurrence,departure from cyyc,Low Risk,On Departure out of cyyc through apx 2000 feet agl we had both the rudder full press and the rud press caution light came on. ran the qrh advised ATC returned to land cyyc qrh ,mechanical issue,"James Wakulchyk QA Flt Ops Dec 17 2014 14:52 handling risk low 2-2 assigned to manager may be AC'd.\r\n\r\nDecember 17 2014 1548L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required\r\nMaintenance will clear the defect and release the work TC142772-13\r\nNo further maintenance action required\r\nMay be AC,d\r\n\r\nDanny Shorten Assistant Chief Pilot 705 19 Jan 2015\r\nSpoke with the crew. Crew acted in accordance with all applicable guidance. No further action required. Recommend for closure. \r\n\r\nAndrew Matson - SMS - March 4, 2015  1655L\r\nOn behalf of QA Maintenance, I have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nOn behalf of QA Flight Ops, same as above.  \r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich  -AE- Mar 8, 2015\r\nReviewed and closed\r\n"
2884,14-12-18 5:00,RJ-100,Cabin Safety Procedures,Cabin Safety Procedures,Occurrence,hgr 6,High Risk,DURING  DI WENT TO REAR OF A/C TO DO INSPECTION AND OPEN UP REAR DOORS TO AIR OUT A/C.BEFORE OPENING DOORS LOOKED DOWN AT GIRT BAR AND FOUND  BOTH DOORS STILL ARMED.,HUMANE  ERROR,"December 18 2014 1104 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk MED 2-3 due process failure\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt Ops Dec 18 2014 12:50 handling risk high 4-3.  Assigned to manager.  See SMS report 2740 Oct 20 2014.  Trend identified based on severity of potential event (blowing a door slide while in hangar) as well as occurrence now a 3 (likely).  Equipment changed to RJ 100 from BAe-146.\r\n\r\nDecember 18 2014 1449 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nChanged to occurrance\r\n\r\nNancy Hoedlel - Supervisor , Cabin Safety - 18 Dec 14\r\nEmailed the originator requesting information as to which tail number this happened on. Received no response.\r\n\r\nNancy Hoedel - Supervisor , Cabin Safety - 19 Dec 14\r\nBrett Farnsworth confirmed that doors left armed on Aircraft 101 SUI.  Crew that operated the flight the evening before were contacted by email requesting information on the process and procedures that were followed.\r\n\r\n\r\nNancy Hoedel - Supervisor , Cabin Safety - 22 Dec 14\r\nFlight Attendant who was working 2LR position, replied to email advising that she forgot to unarm doors after the aircraft taxied back to the NCA Hangar at 660 Palmer Rd from the Canadian North Hangar at 393 Palmer Rd.  \r\n\r\nEmailed entire crew inquiring about the procedures that were followed on the positioning leg; also sent them the information from Inflight Memorandum 2014.27 issued 27 November 2014 which speaks of the Slide Door Operations for Taxi Flights. See memo attached.\r\n\r\nNancy Hoedel - Supervisor, Cabin Safety - 16 Jan 15\r\nMandatory Slide Door training scheduled for all Flight Attendants on Feb 06th and Feb 13th.  Training will not only include the mechanics of the  door and slide operation, but also review the SOP for arming and disarming slide doors. Brett Farnsworth, Fleet Specialist from Maintenance will be in attendance at both training events.\r\n\r\nIn review, the impact to safety management and the likelihood of reoccurrence is determined to be low.  This investigation has been reviewed and determined to be managed to As Low As Reasonably Practical (ALARP), and meets the SMS requirements for a root cause analysis.  The cause has been determined to be a human error and unintentional deviation from a single standard, procedure or process.  The individual was provided all appropriate training on these procedures, but failed to carry out the requirement of this single task.  My investigation has determined this decision was not affected by an external or environmental influence, which could have contributed to the decision made by the individual(s).    The report has been reviewed with the Flight Attendant and they have been made aware of the significance or impacts of this event. Human Factors Error- Action Error- Lapse\r\n\r\n\r\nJanuary 21 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nKatrin Itten, SMS - Jan 28, 2015\r\nAssigned Task in Outlook for LT CAP to Supervisor, Cabin Safety, due Feb 13, 2015: Mandatory Slide Door Training for all FAs.\r\n\r\nJames Wakulchyk- Feb 11 2015-Q/A Manager\r\nI have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nRichelle Singer-SMS-February 20, 2015-0830L\r\nPer Supervisor, Cabin Safety-Slide door training completed on both Feb 06 and Feb 13. Long Term CAP complete.\r\n\r\nRichelle Singer-SMS-February 23, 2015-1700L\r\nSMS Committee reviewed and closed report on February 20, 2015"
2885,14-12-17 13:00,None,Ramp Procedures,Third Party Actions ,Occurrence,East Airside Gate,Medium Risk,"I was sitting near the air side gate to let the truck driver in, upon arrival I opened the gate and the driver came through. As per procedure he was suppose to wait until the gate closed and he had an escort down to hangar 2. I told him to wait, but he proceeded to drive down the ramp past a running dash-8 towards hangar 2. When he arrived at the hangar he was approached by airport authority.",Because he was familiar with our ramp he must not have felt the need to be escorted.,"December 18 2014-1115 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nAssigned to manager\r\nHandling risk MED 3-3 due process failure\r\nManager to determine if this was a regulatory issue\r\nJames Wakulchyk QA Flt Ops Dec 18 2014 - handling risk med 3-2.  Assigned to manager.  Initial SMS report appears to indicate NCA was aware of security procedures.  third party actions included in category\r\n\r\nTrevor Smith, Senior Supervisor of Airports, Dec 24, 2014\r\nI have talked to Hunter and according to him he communicated to the driver that he was to wait until the gate was closed and a ramp hand could escort him to where the RJ 85 was parked. The crane driver had been to NCA in YYC many time and know where he was going and Hunter felt that this is why he continued on with out waiting. In talking to Mark Wright the crane driver did not think he was told to wait. I have coached Hunter that in the future he must place himself in a position that will not allow a driver to drive away with out an escort while he is waiting for the gate to close. This investigation reflects the cause as a human error and unintentional deviation from standard procedure(s) and the individual was given all appropriate training and procedures, but failed to carry out this single task as required.  The impact to safety is low and the likelihood of reoccurrence is unlikely (low risk).  This investigation has investigated the occurrence and has determined it to be managed to As Low As Reasonably Practical (ALARP), although it meets the SMS formal requirements for a root cause analysis, this statement constitutes a root-cause analysis.  It has also been determined this decision was not affected by an external, or environmental influence, which could have contributed to the decisions made by the individual.  The originator has self-reported this deviation to record the event and to allow the organization to review for possible improvement.   The report has been reviewed with the originator and they have been made aware of the significance of this event. Human Error Lapse.\r\nRFC\r\n\r\nJanuary 15 2015  Vern Lace- Q/A Manager maintenance \r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nJanuary 15 2015 James Wakulchyk QA Mgr Flt Ops \r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance an existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety "
